               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082253,            0.018898,            0.033695,                   0,                   0,                   0,                   0,                   0,           0.0024684,                   0,           0.0033308,           0.0033308,            0.070023
                   1,             0.06755,            0.017145,            0.022506,                   0,                   0,                   0,                   0,                   0,           0.0013968,                   0,           0.0066421,           0.0066421,            0.040001
                   2,            0.065553,            0.016738,            0.021277,                   0,                   0,                   0,                   0,                   0,            0.001857,                   0,           0.0099315,           0.0099315,           0.0099568
                   3,            0.064035,            0.016716,            0.020473,                   0,                   0,                   0,                   0,                   0,           0.0019304,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.062019,            0.016579,             0.01913,                   0,                   0,                   0,                   0,                   0,           0.0016048,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.06089,            0.016265,            0.018165,                   0,                   0,                   0,                   0,                   0,           0.0022008,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.059693,            0.016133,            0.017629,                   0,                   0,                   0,                   0,                   0,           0.0011848,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.059071,            0.016112,            0.017006,                   0,                   0,                   0,                   0,                   0,           0.0022664,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.058553,            0.015838,            0.016924,                   0,                   0,                   0,                   0,                   0,           0.0022311,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.058033,            0.015958,            0.016476,                   0,                   0,                   0,                   0,                   0,           0.0019697,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.057862,            0.015624,            0.015937,                   0,                   0,                   0,                   0,                   0,           0.0023689,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.057501,            0.015904,            0.016006,                   0,                   0,                   0,                   0,                   0,           0.0011827,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.057033,            0.015714,             0.01592,                   0,                   0,                   0,                   0,                   0,           0.0010094,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.056705,            0.015814,            0.015621,                   0,                   0,                   0,                   0,                   0,           0.0011542,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.056188,            0.015545,             0.01522,                   0,                   0,                   0,                   0,                   0,           0.0014267,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.056325,            0.015664,            0.015181,                   0,                   0,                   0,                   0,                   0,           0.0018389,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.056036,            0.015721,            0.014861,                   0,                   0,                   0,                   0,                   0,           0.0014144,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.055766,              0.0156,            0.014782,                   0,                   0,                   0,                   0,                   0,            0.001232,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.055843,            0.015428,            0.014946,                   0,                   0,                   0,                   0,                   0,           0.0015043,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.055448,            0.015403,            0.014579,                   0,                   0,                   0,                   0,                   0,           0.0016163,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.055412,            0.015553,            0.014695,                   0,                   0,                   0,                   0,                   0,           0.0016144,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.05526,            0.015419,            0.014328,                   0,                   0,                   0,                   0,                   0,           0.0014911,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.055297,            0.015673,            0.014581,                   0,                   0,                   0,                   0,                   0,           0.0015743,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.055209,            0.015379,            0.014631,                   0,                   0,                   0,                   0,                   0,           0.0010336,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.05478,            0.015456,            0.014059,                   0,                   0,                   0,                   0,                   0,           0.0012157,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.055125,            0.015414,            0.014126,                   0,                   0,                   0,                   0,                   0,           0.0015766,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.054608,            0.015439,            0.013983,                   0,                   0,                   0,                   0,                   0,           0.0021339,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.054656,            0.015361,            0.013996,                   0,                   0,                   0,                   0,                   0,           0.0019028,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.054261,            0.015368,             0.01388,                   0,                   0,                   0,                   0,                   0,           0.0017604,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.054289,            0.015501,            0.013949,                   0,                   0,                   0,                   0,                   0,           0.0020088,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.05439,            0.015376,            0.013624,                   0,                   0,                   0,                   0,                   0,            0.001734,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.054084,            0.015312,            0.013665,                   0,                   0,                   0,                   0,                   0,           0.0013147,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.053878,            0.015366,            0.013456,                   0,                   0,                   0,                   0,                   0,           0.0011328,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.053936,            0.015207,            0.013709,                   0,                   0,                   0,                   0,                   0,          0.00093857,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.053907,            0.015311,            0.013527,                   0,                   0,                   0,                   0,                   0,          0.00096354,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.05395,            0.015066,            0.013102,                   0,                   0,                   0,                   0,                   0,          0.00098333,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.053796,            0.015345,            0.013362,                   0,                   0,                   0,                   0,                   0,           0.0010442,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.053731,             0.01523,            0.013321,                   0,                   0,                   0,                   0,                   0,             0.00115,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.053519,            0.015297,            0.013229,                   0,                   0,                   0,                   0,                   0,           0.0011523,                   0,            0.008779,            0.008779,            0.008779
